_RAJ2000	_DEJ2000	RAJ2000	DEJ2000	2MASS	Jmag	e_Jmag	Hmag	e_Hmag	Kmag	e_Kmag	Qflg	Rflg	Bflg	Cflg	Xflg	Aflg
155.92584100	-57.81295000	155.925841	-57.812950	10234220-5748466	16.145	0.098	15.439	0.135	15.843		ABU	220	110	cc0	0	0
155.93122700	-57.81693300	155.931227	-57.816933	10234349-5749009	15.596	0.068	15.010	0.072	15.076	0.149	AAB	222	111	000	0	0
155.93456400	-57.82183100	155.934564	-57.821831	10234429-5749185	15.732		15.650	0.196	14.883	0.169	UCC	022	011	000	0	0
155.93463200	-57.81670800	155.934632	-57.816708	10234431-5749001	14.987	0.066	14.709	0.090	14.461	0.087	AAA	222	111	000	0	0
155.92168400	-57.81536100	155.921684	-57.815361	10234120-5748552	16.516	0.136	16.348		16.385		BUU	200	100	000	0	0
155.98165600	-57.82640100	155.981656	-57.826401	10235559-5749350	15.932	0.079	14.806	0.075	14.165	0.076	AAA	222	111	ccc	0	0
155.98110700	-57.81570400	155.981107	-57.815704	10235546-5748565	15.746	0.061	14.978	0.090	14.472	0.093	AAA	222	111	c00	0	0
155.97922000	-57.81686400	155.979220	-57.816864	10235501-5749007	15.098	0.046	14.890	0.075	14.749	0.133	AAB	222	111	000	0	0
155.97901400	-57.82365000	155.979014	-57.823650	10235496-5749251	16.034	0.094	15.386	0.133	14.321		ABU	220	110	cc0	0	0
155.98341300	-57.82981900	155.983413	-57.829819	10235601-5749473	15.004	0.050	14.762	0.049	14.562	0.093	AAA	222	111	00c	0	0
155.98513400	-57.82509600	155.985134	-57.825096	10235643-5749303	16.630	0.144	15.311		14.658		CUU	200	100	c00	0	0
155.97874700	-57.81333200	155.978747	-57.813332	10235489-5748479	15.298	0.033	13.528	0.022	12.606	0.019	AAA	222	111	000	0	0
155.97745100	-57.82011400	155.977451	-57.820114	10235458-5749124	13.421	0.022	13.359	0.022	13.233	0.027	AAA	222	111	000	0	0
